probe,0,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
0,ILMN_1212602,1.907304471,1.968823708,2.006598729,1.934782533,1.810802213,1.908161145,1.740356008,1.751392511,1.86740011,1.831677979,1.879133896,1.90289718,3.477526662,3.703879799,3.359558594,3.718768392,3.634543319,3.559088574,4.364459455,4.566874474,4.425301755,4.392545318,4.502825003,4.301967339
4,ILMN_1212612,1.480678533,1.565527103,1.529010732,1.391917759,1.512100579,1.425027741,1.50116858,1.269004106,1.398815328,1.445677299,1.606757273,1.398331382,1.557139204,1.708945576,1.506780897,1.761229632,1.499326101,1.794959902,1.672988409,1.660486639,1.51268606,1.592770176,1.50455412,1.475941648
6,ILMN_1212619,3.181750389,3.414286582,2.97593863,3.238445245,3.325737979,3.111451168,2.748400956,2.486183951,2.712872206,2.815963165,2.794061309,2.70294737,2.60311224,2.654882208,2.435083113,2.870528613,2.660756953,2.408576191,2.641021387,2.756133111,2.679247865,2.825027388,2.791002102,2.62370259
9,ILMN_1212626,4.393986997,4.608721209,4.287542884,4.302626021,4.21778286,4.4553433,4.527406146,4.212102692,4.001120325,4.388228706,4.420863781,4.251895607,3.832146253,4.090441935,3.854433276,3.480521639,3.901141565,3.857458326,3.744038719,3.903301737,3.962143328,3.621893628,3.842305243,3.745175524
12,ILMN_1212633,2.883532861,2.880759085,2.661109433,2.936300228,2.613135372,2.911679781,3.434413569,3.401128558,3.424397141,3.38737025,3.056505745,3.476724071,3.334707386,3.433190336,3.344706963,3.249993724,3.518263197,3.520710484,3.376670517,3.459701818,3.616411763,3.1383761,3.533768812,3.397756668
16,ILMN_1212639,1.703962066,1.793138935,1.826722091,1.770345133,1.761261645,1.781135618,1.954200914,2.092818681,2.022175796,2.084577433,1.988362339,2.132127206,1.744274748,1.801712279,1.86553384,1.893002139,2.095346685,1.898621249,1.845928482,1.69066472,1.675967278,1.771618324,1.705813673,1.688581454
18,ILMN_1212645,3.362995545,3.185179987,3.120461309,3.469816309,3.510329567,3.209055507,3.276972609,3.185321085,2.977072443,3.414034776,3.306972145,3.095854132,2.552856267,2.548418087,2.250594195,2.692216405,2.246921357,2.494974726,2.123701356,2.177262303,2.083141138,2.462143828,2.129557921,2.028944432
20,ILMN_1212648,3.127748696,3.17407904,3.147511738,3.131777733,3.216560576,3.098056906,3.651644576,3.565994875,3.407817316,3.76796155,3.497959855,3.454584822,3.721581188,3.760645365,3.615519299,4.090053666,3.678124157,3.653760218,3.883126883,3.762505214,4.007632459,4.018813392,3.848942671,3.755440916
28,ILMN_1212667,2.202655826,2.284905747,2.177219815,2.042970227,1.979667963,2.203931063,2.208992807,2.314683632,2.297769796,2.087007187,1.860691342,2.196970657,2.505905654,2.53684329,2.706156307,2.255501999,2.592319151,2.363271953,2.596584694,2.672001891,2.717870739,2.262122169,2.518074282,2.496053078
32,ILMN_1212672,3.525512032,3.670227712,3.64952504,3.736176611,3.651455968,3.677650896,4.412307152,4.307074559,4.387116633,4.587288992,4.318710639,4.20612875,3.375948064,3.48807261,3.319437943,3.347062242,3.501830653,3.417172393,3.216037219,3.338135773,3.336968475,3.225933731,3.076959064,3.081641348
34,ILMN_1212682,3.116742475,3.046948828,3.037263066,2.973337757,2.861400424,2.960786304,2.550747842,2.799819272,2.583896696,2.769047558,2.51831665,2.602539255,2.556000312,2.56044473,2.541688018,2.383813128,2.484613588,2.641921548,2.317808733,2.351320498,2.296107587,2.685531158,2.391511729,2.367964002
40,ILMN_1212692,2.124334184,2.150539483,2.070486742,1.975308777,2.191863627,2.086239861,1.76988077,1.752667059,1.682901339,1.697149029,1.702543321,1.706687101,1.709514915,1.577080012,1.762136656,1.746638307,1.851725102,1.839800759,1.666047669,1.534687946,1.617314764,1.745327318,1.801503681,1.790460292
