,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
1018,2.122858968,2.21313533,1.98355032,2.187918511,2.129914165,2.075784398,2.551067935,2.296837123,2.435092628,2.442563519,2.286064259,2.552335425,5.967009562,6.096939474,5.800645374,5.850572596,5.834093484,5.665641175,5.254986933,5.284575476,5.314383195,5.211920209,5.22528279,5.103367525
6497,2.529973804,2.176920086,2.353825889,2.280342127,2.296393594,2.391276566,5.559422042,5.331845752,5.280421238,5.374157474,5.085282696,5.388046138,4.877717299,5.254900124,4.794940397,5.080651742,4.957773852,4.997693889,3.685462932,3.734765956,3.625433756,3.496708329,3.867589348,3.746100787
8727,4.13071236,4.198567199,4.05870386,4.301027939,4.174738953,4.09937399,1.816180036,1.759862971,1.880980255,1.806257164,1.809013329,1.852473178,1.741612977,1.633777403,1.723116418,1.770028167,1.596034805,1.530069693,1.845847874,1.701885868,1.759673741,1.866317256,1.768207832,1.769525652
8857,5.410750309,5.469326569,5.293189834,5.511807166,5.546581271,5.280629209,5.832440491,5.419332794,5.724100484,6.023340165,5.78599096,5.823238768,1.930634697,1.96800444,1.994156274,2.226878427,1.865937886,1.917992789,1.99475308,2.029888202,2.018293714,2.231056322,1.928118993,2.075025842
10161,3.056995008,2.981354001,3.074530129,3.124117438,3.169513342,3.299098695,5.42631592,5.406854689,5.21004113,5.583819005,5.288341976,5.276893917,6.990970642,7.240208537,6.803357027,7.008188575,6.987242161,6.899442595,6.560299046,6.650806379,6.546361053,6.367632516,6.517222993,6.410985435
11450,4.077878224,4.106197659,4.066340726,4.202880224,4.083285241,3.971213907,1.944368614,1.793880827,1.847831888,1.914758547,2.119949172,1.918485519,1.832127172,1.720757774,1.763924646,1.863680023,1.612861274,1.674749886,1.828082753,1.838157543,1.76435812,1.94381965,1.85606205,1.821388589
11946,7.260505314,7.116979191,6.958732815,6.838612156,6.679820035,6.991774426,6.2309192,6.025831563,6.005969355,6.06015904,5.915887914,5.958148543,2.423530192,2.625352939,2.433016816,2.650957845,2.513967216,2.577865317,2.380753357,2.420121646,2.465281792,2.24927881,2.385873994,2.2484441
12136,2.236970944,2.24538353,2.272713115,2.246948046,2.058792397,2.331265075,5.621397042,5.381399898,5.252938568,5.464074948,5.331546052,5.471039082,4.933785126,5.165118553,4.977907001,5.190599866,5.041262131,4.997615259,3.744539242,3.765184291,3.694773197,3.672810674,3.629271159,3.832418796
13350,1.839655573,1.720771679,1.777287834,1.812185549,1.771189477,1.730323332,1.826291253,2.019004151,1.746527415,1.812203047,1.99065806,2.000052446,3.466490209,3.796674934,3.499761139,3.742192093,3.748098621,3.71564396,3.62368052,3.852597997,3.769134015,3.592989464,3.943627142,3.803839974
13525,5.324102116,5.244741982,5.180603063,5.442326448,5.474354809,5.112595297,4.034240699,3.835780029,3.922149851,4.038269746,3.982104627,3.949420061,2.301495821,2.240116525,2.259410356,2.248884004,2.361449474,2.28592632,1.844687575,1.834245006,1.811135012,1.887267396,2.000202974,1.871434575
