probe,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
0,1.907304471,1.968823708,2.006598729,1.934782533,1.810802213,1.908161145,1.740356008,1.751392511,1.86740011,1.831677979,1.879133896,1.90289718,3.477526662,3.703879799,3.359558594,3.718768392,3.634543319,3.559088574,4.364459455,4.566874474,4.425301755,4.392545318,4.502825003,4.301967339
18,3.362995545,3.185179987,3.120461309,3.469816309,3.510329567,3.209055507,3.276972609,3.185321085,2.977072443,3.414034776,3.306972145,3.095854132,2.552856267,2.548418087,2.250594195,2.692216405,2.246921357,2.494974726,2.123701356,2.177262303,2.083141138,2.462143828,2.129557921,2.028944432
42,4.074112096,4.037292516,4.031712497,4.171755501,4.154542994,3.968506036,4.853062937,4.680656716,4.653679149,4.961567051,4.822583257,4.772570156,2.265802911,2.412957033,2.237552271,2.397226712,2.289537884,2.383892506,2.175594358,2.319603,2.151700979,2.029327985,2.158698067,2.155017341
44,3.913753745,3.830088339,3.902099299,3.867370512,3.960664674,3.728673538,2.139340132,1.966024542,1.967536685,2.146740498,2.12468071,2.011221023,2.07495808,2.097222978,2.135213202,2.143460024,2.172340846,2.075205652,3.257926061,3.277341122,3.325738588,3.47782736,3.297228968,3.201062598
51,2.950370623,3.010146093,2.722937714,2.983809243,2.913315395,3.04839717,3.34044635,3.411749092,3.390402972,3.401773544,3.449759458,3.472478298,3.648835415,4.123981436,3.748747536,3.977171626,4.020795191,3.787882317,4.425028013,4.550900704,4.46155735,4.396553813,4.46612118,4.346900674
129,5.428161078,5.336585792,5.251223066,5.200087849,5.358271614,5.248736175,6.677570497,6.523774303,6.641990273,6.595649483,6.547353107,6.559922454,7.63564116,7.873111015,7.432342785,7.658020914,7.740503745,7.684594145,6.704208931,7.15498324,6.765518546,6.766008456,7.044340874,6.717802353
182,1.781059028,1.631941184,1.66828574,1.684608217,1.927408544,1.638247017,2.326910891,2.435607554,2.304210614,2.605960483,2.47999427,2.243040048,1.790997858,1.680818218,1.855199789,1.895279644,1.710174332,1.743829781,1.883318999,1.729295844,1.842709756,1.940896414,2.010894039,1.939804994
210,3.420794366,3.403386139,3.306740027,3.150259224,3.074493417,3.338084962,4.557620051,4.323376561,4.460854688,4.436644442,3.999686293,4.540953297,3.024987381,3.255853859,3.177733747,2.907707484,3.123126075,3.116218769,2.553441142,2.539045561,2.748147028,2.316525815,2.622101499,2.536900253
226,4.957964307,4.943589783,4.701298393,4.756369289,4.843145702,4.82508927,5.695933907,5.643571998,5.614492083,5.621211752,5.491527269,5.629372088,3.223581489,3.414557275,3.156920621,3.036966017,3.286012781,3.253940274,2.803224086,2.697573036,2.836307132,2.58640395,2.536720197,2.68201489
229,1.665315886,1.519002778,1.726933497,1.73394079,1.757630235,1.81467569,2.190667655,2.100231484,1.976548907,2.264974327,2.111538202,2.016262639,2.172471606,2.21686238,1.956018846,2.135695838,2.07349739,2.114928993,2.35948401,2.382930965,2.419479948,2.214214497,2.393298479,2.214627614
253,3.458128471,3.860918903,3.609364881,3.7244484,3.42051227,3.912868477,4.239317866,3.998000469,4.010990274,4.093453601,3.865962163,4.05843905,2.501798104,2.866787205,2.573689941,2.374438123,3.003461449,2.867451803,2.613073989,2.779321119,2.852706936,2.341559309,2.644940336,2.542740471
301,5.633989115,5.497871722,5.466554585,5.597526084,5.494657238,5.336328845,5.519155878,5.294903081,5.236126987,5.46287252,5.396356345,5.308815636,4.386611102,4.556968505,4.370467983,4.753133565,4.381991646,4.375042885,3.778106492,4.022489903,3.965478627,3.97901955,4.12174722,3.80565019
304,3.194364828,3.133414657,3.080456948,3.273967689,3.193178706,3.326744054,3.803501008,3.447261347,3.408412147,3.702581883,3.50651241,3.731925024,3.957941844,4.186546074,4.033260681,3.982570027,4.160216478,4.084779921,4.603032102,4.491438357,4.484927415,4.433954397,4.754222578,4.500079307
341,1.96907829,1.929072866,1.976441562,2.070939353,1.933739406,1.898223465,3.009880296,2.797736787,2.879787636,3.101872906,2.96406558,2.913730079,1.835341571,1.795463825,1.74093895,1.867908425,1.798867468,1.835783879,1.742659831,1.731180822,1.672215553,1.792247773,1.70191563,1.770875782
367,4.944040108,4.926885996,4.738964816,4.704586642,4.784773101,4.9196794,5.289725939,4.920691767,5.068001378,5.186866082,5.049911631,5.307776873,6.983811897,7.282293066,6.764467562,7.098452856,7.041707525,6.909549424,7.384315013,7.520609796,7.331058395,7.321979734,7.563356298,7.371230847
373,4.798143422,4.939441407,4.720987536,4.369715521,4.366882933,4.723945785,6.00380206,5.793702073,5.701616607,5.464888218,5.318480418,5.800534108,3.087647107,3.363302283,3.2322271,2.99069507,3.111184999,3.252934117,2.994286972,3.104511553,2.945644458,2.638050949,2.789940508,2.746521994
443,2.826042476,2.855291485,2.8038114,2.914244993,2.91768026,2.902578887,3.223138093,3.007556284,3.146045085,3.321421977,3.2962506,3.198390602,4.553586187,4.703024898,4.569042908,4.71641266,4.692753298,4.441721816,4.468249852,4.588599079,4.456984957,4.381049752,4.55534612,4.426982831
