,gimm_cluster
0,18
1,0
2,12
3,4
4,13
5,0
6,19
7,0
8,2
9,1
10,0
11,0
12,11
13,12
14,1
15,5
16,15
17,4
18,18
19,19
20,19
21,15
22,0
23,0
24,15
25,0
26,12
27,4
28,15
29,15
30,4
31,4
32,19
33,4
34,11
35,0
36,0
37,0
38,4
39,0
40,15
41,19
42,3
43,0
44,17
45,15
46,0
47,0
48,4
49,0
50,0
51,18
52,19
53,13
54,0
55,0
56,4
57,0
58,19
59,4
60,13
61,4
62,13
63,4
64,1
65,0
66,18
67,13
68,0
69,0
70,0
71,13
72,12
73,0
74,15
75,0
76,0
77,0
78,13
79,0
80,15
81,19
82,0
83,0
84,0
85,0
86,0
87,0
88,11
89,11
90,4
91,0
92,15
93,0
94,19
95,15
96,4
97,4
98,15
99,0
100,4
101,0
102,0
103,0
104,0
105,4
106,15
107,4
108,0
109,0
110,0
111,4
112,4
113,4
114,19
115,0
116,19
117,4
118,13
119,0
120,0
121,4
122,4
123,15
124,0
125,0
126,4
127,0
128,4
129,17
130,0
131,12
132,0
133,4
134,11
135,0
136,0
137,11
138,19
139,0
140,11
141,0
142,0
143,4
144,4
145,11
146,4
147,0
148,19
149,15
150,12
151,4
152,19
153,0
154,11
155,15
156,0
157,12
158,0
159,0
160,0
161,17
162,1
163,13
164,19
165,0
166,19
167,15
168,0
169,0
170,0
171,4
172,0
173,0
174,0
175,15
176,12
177,0
178,4
179,0
180,11
181,12
182,15
183,13
184,0
185,0
186,11
187,0
188,4
189,13
190,0
191,4
192,0
193,0
194,13
195,13
196,0
197,0
198,0
199,13
200,19
201,0
202,0
203,0
204,0
205,0
206,4
207,0
208,4
209,13
210,3
211,0
212,15
213,12
214,0
215,0
216,19
217,17
218,15
219,0
220,15
221,4
222,17
223,15
224,4
225,11
226,3
227,13
228,12
229,15
230,0
231,4
232,0
233,0
234,0
235,0
236,4
237,0
238,12
239,4
240,0
241,19
242,0
243,0
244,15
245,0
246,15
247,4
248,0
249,0
250,0
251,19
252,15
253,1
254,15
255,4
256,0
257,0
258,19
259,0
260,11
261,0
262,19
263,0
264,13
265,0
266,15
267,19
268,11
269,0
270,0
271,15
272,0
273,4
274,19
275,0
276,15
277,12
278,4
279,0
280,12
281,13
282,4
283,0
284,4
285,4
286,4
287,13
288,13
289,0
290,4
291,4
292,4
293,15
294,1
295,0
296,0
297,0
298,4
299,4
300,0
301,17
302,1
303,15
304,18
305,4
306,0
307,4
308,4
309,13
310,4
311,4
312,13
313,1
314,0
315,0
316,4
317,16
318,0
319,11
320,13
321,11
322,12
323,18
324,15
325,1
326,2
327,4
328,0
329,13
330,4
331,0
332,0
333,0
334,0
335,12
336,4
337,0
338,0
339,15
340,13
341,3
342,13
343,4
344,4
345,15
346,13
347,0
348,11
349,12
350,0
351,0
352,4
353,4
354,15
355,4
356,13
357,0
358,0
359,4
360,13
361,11
362,13
363,0
364,13
365,0
366,19
367,17
368,0
369,11
370,12
371,0
372,0
373,3
374,17
375,18
376,0
377,15
378,4
379,13
380,0
381,4
382,13
383,4
384,0
385,12
386,0
387,0
388,0
389,4
390,0
391,0
392,4
393,15
394,0
395,13
396,4
397,4
398,19
399,4
400,0
401,15
402,0
