Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	16/277	1.665548e-09	1.294131e-06	0	0	7.893124e+00	1.595446e+02	POLQ;PRIM2;RFC3;LIG1;XRCC2;FANCA;RPA2;UNG;RECQL4;RAD51C;UBE2T;TOP1MT;MCM6;RAD18;POLH;MUTYH
GO_Biological_Process_2021	DNA repair (GO:0006281)	16/298	4.755992e-09	1.847703e-06	0	0	7.297499e+00	1.398483e+02	FANCI;POLQ;RFC3;LIG1;XRCC2;FANCA;RPA2;UNG;RECQL4;RAD51C;FANCD2;UBE2T;APLF;RAD18;POLH;MUTYH
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	14/350	1.610802e-06	4.171978e-04	0	0	5.274892e+00	7.036061e+01	POLQ;RFC3;LIG1;USP10;XRCC2;FANCA;UNG;RECQL4;RAD51C;UBE2T;APLF;RAD18;POLH;MUTYH
GO_Biological_Process_2021	base-excision repair (GO:0006284)	6/48	2.943151e-06	5.623920e-04	0	0	1.745150e+01	2.222628e+02	POLQ;RFC3;LIG1;RPA2;UNG;MUTYH
GO_Biological_Process_2021	DNA replication (GO:0006260)	8/108	3.618996e-06	5.623920e-04	0	0	9.866000e+00	1.236142e+02	RECQL4;RFC3;DUT;TOP1MT;DONSON;RPA2;CLSPN;MCM6
GO_Biological_Process_2021	base-excision repair, gap-filling (GO:0006287)	5/35	1.042993e-05	1.350676e-03	0	0	2.024744e+01	2.322550e+02	RFC3;LIG1;RPA2;UNG;MUTYH
GO_Biological_Process_2021	postreplication repair (GO:0006301)	5/46	4.087632e-05	4.537272e-03	0	0	1.480697e+01	1.496239e+02	RFC3;USP10;RPA2;POLH;RAD18
GO_Biological_Process_2021	mitotic DNA replication (GO:1902969)	3/10	6.689913e-05	6.089941e-03	0	0	5.149351e+01	4.949723e+02	LIG1;GINS3;MCM6
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	9/209	7.053986e-05	6.089941e-03	0	0	5.556226e+00	5.311382e+01	PLK4;CCND3;MELK;UBE2C;UBE2S;CCNE1;CCNF;CDC25C;PKMYT1
GO_Biological_Process_2021	regulation of cyclin-dependent protein kinase activity (GO:1904029)	5/54	8.933729e-05	6.894727e-03	0	0	1.238450e+01	1.154618e+02	CCND3;CCNE1;CCNF;CDC25C;PKMYT1
GO_Biological_Process_2021	interstrand cross-link repair (GO:0036297)	5/55	9.760874e-05	6.894727e-03	0	0	1.213620e+01	1.120722e+02	FANCI;FANCD2;UBE2T;FANCA;RPA2
GO_Biological_Process_2021	double-strand break repair via homologous recombination (GO:0000724)	6/97	1.688633e-04	1.093390e-02	0	0	8.034595e+00	6.979188e+01	RECQL4;POLQ;RAD51C;XRCC2;RPA2;MCM6
GO_Biological_Process_2021	translesion synthesis (GO:0019985)	4/42	4.191830e-04	2.378510e-02	0	0	1.270475e+01	9.880742e+01	RFC3;USP10;RPA2;POLH
GO_Biological_Process_2021	DNA strand elongation involved in DNA replication (GO:0006271)	3/18	4.329665e-04	2.378510e-02	0	0	2.402061e+01	1.860360e+02	RFC3;LIG1;GINS3
GO_Biological_Process_2021	DNA synthesis involved in DNA repair (GO:0000731)	4/43	4.591718e-04	2.378510e-02	0	0	1.237836e+01	9.514115e+01	RFC3;USP10;RPA2;POLH
GO_Biological_Process_2021	recombinational repair (GO:0000725)	5/79	5.378215e-04	2.544455e-02	0	0	8.190184e+00	6.165557e+01	RECQL4;POLQ;RAD51C;XRCC2;RPA2
GO_Biological_Process_2021	protein homooligomerization (GO:0051260)	6/121	5.567020e-04	2.544455e-02	0	0	6.350081e+00	4.758420e+01	POLQ;SHMT2;FUS;SHMT1;SLC1A5;ECT2
GO_Biological_Process_2021	regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	5/82	6.381028e-04	2.691347e-02	0	0	7.869891e+00	5.789887e+01	CCND3;CCNE1;CCNF;CDC25C;PKMYT1
GO_Biological_Process_2021	negative regulation of organ growth (GO:0046621)	2/5	6.898443e-04	2.691347e-02	0	0	7.963454e+01	5.796634e+02	WWC1;SLC6A4
GO_Biological_Process_2021	error-prone translesion synthesis (GO:0042276)	3/21	6.927534e-04	2.691347e-02	0	0	2.001414e+01	1.455996e+02	RFC3;RPA2;POLH
GO_Biological_Process_2021	DNA-dependent DNA replication (GO:0006261)	6/129	7.798470e-04	2.815588e-02	0	0	5.934658e+00	4.247086e+01	RECQL4;PRIM2;RFC3;GINS3;RPA2;MCM6
GO_Biological_Process_2021	error-free translesion synthesis (GO:0070987)	3/22	7.972063e-04	2.815588e-02	0	0	1.895981e+01	1.352668e+02	RFC3;RPA2;POLH
GO_Biological_Process_2021	protein complex oligomerization (GO:0051259)	5/90	9.739738e-04	2.871921e-02	0	0	7.126308e+00	4.941472e+01	POLQ;SHMT2;FUS;NOL3;ECT2
GO_Biological_Process_2021	purine nucleobase biosynthetic process (GO:0009113)	2/6	1.029054e-03	2.871921e-02	0	0	5.972289e+01	4.108407e+02	SHMT2;SHMT1
